ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
R0029,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7,red
R0030,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
R0031,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,red
R0032,10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,red
R0033,9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,7,red
R0034,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,red
R0035,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,4,red
R0036,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,red
R0037,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,red
R0038,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,red
R0039,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7,red
R0040,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7,red
R0041,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,red
R0042,8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,7,red
R0043,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7,red
R0044,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7,red
R0045,10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7,red
R0046,9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7,red
R0047,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7,red
R0048,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6,red
R0049,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7,red
R0050,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,red
R0051,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6,red
R0052,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6,red
R0053,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,red
R0054,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7,red
R0055,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6,red
R0056,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,red
R0057,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,7,red
R0058,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,6,red
R0059,9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,red
R0060,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,red
R0061,8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,red
R0062,7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6,red
R0063,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,red
R0064,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,red
R0065,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,red
R0066,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,red
R0067,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,red
R0068,7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,7,red
R0069,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,red
R0070,6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5,red
R0071,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3,red
R0072,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,red
R0073,9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,6,red
R0074,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,red
R0075,6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5,red
R0076,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6,red
R0077,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,6,red
R0078,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,red
R0079,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,red
R0080,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6,red
R0081,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,red
R0082,7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,7,red
R0083,9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,red
R0084,7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,5,red
R0085,8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5,red
R0086,5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6,red
R0087,6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4,red
R0088,6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6,red
R0089,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,red
R0090,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,red
R0091,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,red
R0092,10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6,red
R0093,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,red
R0094,7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5,red
R0095,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,red
R0096,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7,red
R0097,8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5,red
R0098,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6,red
R0099,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7,red
R0100,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7,red
R0101,6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6,red
R0102,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,red
R0103,9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,red
R0104,6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5,red
R0105,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,red
R0106,6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5,red
R0107,8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,red
R0108,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5,red
R0109,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,red
R0110,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,red
R0111,7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5,red
R0112,7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5,red
R0113,8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6,red
R0114,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,5,red
R0115,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,red
R0116,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,red
R0117,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6,red
R0118,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,red
R0119,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5,red
R0120,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8,red
R0121,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5,red
R0122,11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6,red
R0123,8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,6,red
R0124,10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7,red
R0125,7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,4,red
R0126,10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6,red
R0127,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,red
R0128,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,red
R0129,9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5,red
R0130,7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,5,red
R0131,10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7,red
R0132,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,7,red
R0133,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5,red
R0134,6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,red
R0135,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,red
R0136,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,red
R0137,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,red
R0138,7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,red
R0139,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5,red
R0140,7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8,red
R0141,6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,red
R0142,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,red
R0143,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,red
R0144,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,red
R0145,6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6,red
R0146,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,red
R0147,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,red
R0148,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6,red
R0149,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7,red
R0150,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red
R0151,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6,red
R0152,9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5,red
R0153,10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6,red
R0154,12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6,red
R0155,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4,red
R0156,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,red
R0157,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,red
R0158,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5,red
R0159,8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,red
R0160,7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3,red
R0161,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4,red
R0162,8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5,red
R0163,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,red
R0164,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6,red
R0165,7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5,red
R0166,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7,red
R0167,7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4,red
R0168,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7,red
R0169,8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5,red
R0170,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6,red
R0171,8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6,red
R0172,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,red
R0173,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,red
R0174,7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,5,red
R0175,7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,6,red
R0176,7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,red
R0177,6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6,red
R0178,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6,red
R0179,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,red
R0180,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,red
R0181,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,red
R0182,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,red
R0183,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,red
R0184,11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6,red
R0185,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5,red
R0186,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6,red
R0187,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5,red
R0188,11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7,red
R0189,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6,red
R0190,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,red
R0191,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7,red
R0192,14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,red
R0193,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,red
R0194,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6,red
R0195,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5,red
R0196,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,red
R0197,8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5,red
R0198,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red
R0199,11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red
R0200,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,red
R0201,8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,red
R0202,7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6,red
R0203,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7,red
R0204,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,red
R0205,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,red
R0206,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,red
R0207,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,red
R0208,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6,red
R0209,9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,red
R0210,10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,red
R0211,10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5,red
R0212,7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7,red
R0213,7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5,red
R0214,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,red
R0215,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,red
R0216,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6,red
R0217,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6,red
R0218,10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6,red
R0219,9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,5,red
R0220,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5,red
R0221,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,red
R0222,10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8,red
R0223,10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3,red
R0224,13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5,red
R0225,11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5,red
R0226,8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6,red
R0227,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6,red
R0228,7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5,red
R0229,7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5,red
R0230,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7,red
R0231,6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5,red
R0232,9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,8,red
R0233,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6,red
R0234,8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,7,red
R0235,9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,red
R0236,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6,red
R0237,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5,red
R0238,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,red
R0239,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6,red
R0240,9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8,red
R0241,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,red
R0242,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,red
R0243,11.2,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5,red
R0244,9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6,red
R0245,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,red
R0246,10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6,red
R0247,11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,5,red
R0248,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,red
R0249,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6,red
R0250,8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,red
R0251,8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5,red
R0252,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,7,red
R0253,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,red
R0254,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6,red
R0255,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7,red
R0256,9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6,red
R0257,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,red
R0258,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,red
R0259,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6,red
R0260,8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6,red
R0261,7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,red
R0262,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,red
R0263,7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7,red
R0264,6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6,red
R0265,6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5,red
R0266,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6,red
R0267,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,red
R0268,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,red
R0269,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,red
R0270,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,red
R0271,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,red
R0272,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5,red
R0273,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6,red
R0274,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,red
R0275,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7,red
R0276,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,red
R0277,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5,red
R0278,8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6,red
R0279,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5,red
R0280,10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5,red
R0281,11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6,red
R0282,6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5,red
R0283,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,6,red
R0284,8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6,red
R0285,10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,red
R0286,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,red
R0287,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7,red
R0288,7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5,red
